,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
0,青葉町,4,2,2,0,3,3,2,2,2,1,2,5,0,0,1,1,1,5,1,4,1,3,2,7,6,4,6,11,6,7,5,5,9,8,3,2,6,8,3,6,1,7,2,4,2,3,5,3,1,3,5,3,4,4,3,1,2,7,3,3,4,4,1,1,1,2,6,6,3,3,3,5,3,3,1,4,4,2,0,4,0,5,4,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,10,8,12,19,34,30,25,16,15,19,16,11,20,15,14,13,1,2
1,赤坂１丁目,0,3,0,3,4,4,5,2,7,8,1,2,3,1,0,2,1,0,2,0,5,4,2,3,3,1,1,2,1,4,3,1,2,4,3,6,1,0,2,4,3,2,2,4,3,4,3,4,2,5,4,4,6,1,5,4,6,3,5,5,0,4,2,5,5,6,3,3,2,4,4,2,7,2,1,2,1,3,4,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,26,7,5,17,9,13,13,14,18,20,23,16,18,16,10,1,2,1
2,赤坂２丁目,0,7,6,3,10,9,3,3,5,4,4,9,13,4,6,8,4,10,4,5,6,3,5,6,4,7,3,2,3,4,7,6,5,7,9,1,5,9,7,9,9,9,13,12,9,4,12,7,4,5,8,5,9,9,8,6,4,12,10,8,6,9,9,6,6,8,6,6,7,4,7,4,2,4,3,8,2,8,1,4,1,8,1,0,3,2,2,1,1,4,1,0,1,0,0,1,1,0,0,0,0,26,24,36,31,24,19,34,31,52,32,39,40,36,31,20,23,13,10,4
3,赤坂３丁目,4,1,6,4,3,2,8,7,5,8,7,6,3,4,5,5,7,3,9,6,6,7,5,2,7,2,4,3,6,7,2,4,6,8,6,4,6,10,6,6,6,5,5,10,4,6,9,13,10,2,5,8,8,6,3,9,6,5,5,12,8,10,6,6,5,6,7,6,5,4,8,2,5,4,1,0,3,2,6,1,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,25,30,27,22,26,32,30,40,30,37,35,28,20,12,5,2,0
4,あけぼの町,6,3,2,1,3,4,3,2,2,0,2,1,0,1,1,2,2,3,3,3,3,1,5,5,5,4,8,2,5,6,5,7,7,5,5,3,6,2,6,6,12,7,7,8,5,6,9,4,2,6,4,5,7,2,5,6,3,1,2,0,6,3,6,3,7,5,4,8,5,5,7,5,5,2,1,4,4,5,5,4,2,2,4,1,3,2,1,1,2,2,1,1,3,1,0,0,0,0,0,1,0,15,11,5,13,19,25,29,23,39,27,23,12,25,27,20,22,12,8,7
5,旭ケ丘１丁目,9,10,2,8,4,7,10,5,5,8,4,4,1,11,2,2,1,6,8,8,14,12,18,34,23,33,23,31,28,24,22,25,30,22,20,16,20,10,22,14,25,13,14,20,19,14,14,26,18,17,16,20,12,16,13,15,13,12,7,21,11,14,15,11,10,6,7,12,7,4,8,13,15,4,8,4,5,13,9,8,4,4,5,2,4,5,5,2,6,1,3,2,3,3,0,1,1,0,0,0,0,33,35,22,25,101,139,119,82,91,89,77,68,61,36,48,39,19,19,13
6,旭ケ丘２丁目,7,5,9,9,13,14,15,11,12,7,13,5,10,6,11,7,5,9,14,9,23,16,14,20,26,22,24,23,22,23,23,21,14,22,18,15,21,23,16,13,18,21,22,17,16,24,21,26,27,19,21,15,15,11,12,18,8,15,20,15,12,15,13,9,12,17,5,11,15,13,12,12,14,10,9,8,2,5,5,9,4,8,6,4,8,11,9,9,3,3,4,5,3,2,3,4,0,0,0,0,0,43,59,45,44,99,114,98,88,94,117,74,76,61,61,57,29,30,35,21
7,旭ケ丘３丁目,9,6,7,6,7,3,4,8,5,5,7,4,5,10,8,2,9,5,6,8,11,12,8,17,11,17,11,11,9,16,11,13,16,9,9,16,17,12,13,12,11,7,15,16,9,23,9,7,15,16,9,11,7,13,6,13,13,7,10,6,11,8,5,5,4,8,7,8,10,5,8,6,9,3,5,4,5,5,3,5,6,2,0,7,5,0,3,2,5,4,3,2,2,1,1,0,0,0,0,0,0,35,25,34,30,59,64,58,70,58,70,46,49,33,38,31,22,20,14,9
8,旭ケ丘４丁目,6,9,6,12,6,8,6,14,8,14,7,9,9,7,6,6,6,7,7,12,13,7,16,14,15,11,18,12,21,13,17,12,12,12,15,12,16,8,7,14,14,15,15,13,21,17,14,19,13,20,18,22,11,17,9,10,15,8,8,15,13,8,5,14,11,8,10,5,6,7,9,8,12,2,4,8,6,5,9,9,4,6,6,10,9,7,9,10,2,6,4,3,1,0,1,1,0,0,0,0,0,39,50,38,38,65,75,68,57,78,83,77,56,51,36,35,37,35,34,10
9,愛子中央１丁目,3,0,1,1,1,1,1,1,1,0,1,1,1,0,3,0,0,1,2,0,3,0,3,2,3,3,1,1,2,2,3,1,2,0,1,2,3,1,1,3,3,1,4,0,2,3,1,0,1,3,0,1,0,2,4,3,1,0,0,2,3,0,0,0,3,1,0,2,3,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,4,6,3,11,9,7,10,10,8,7,6,6,8,2,1,1,0,3
10,愛子中央２丁目,3,6,3,5,5,4,3,2,5,3,2,6,2,2,2,4,5,3,6,3,3,3,6,2,7,2,7,4,8,5,6,9,6,7,2,10,4,4,5,3,7,2,6,8,4,7,3,5,3,1,2,5,3,2,5,6,6,4,5,3,9,1,6,4,2,2,3,7,5,4,2,4,4,1,0,3,4,3,5,3,5,1,0,0,2,2,3,2,0,2,0,1,0,1,1,0,0,0,0,0,0,22,17,14,21,21,26,30,26,27,19,17,24,22,21,11,18,8,9,3
11,愛子中央３丁目,5,3,9,7,3,5,3,7,5,4,9,5,7,11,6,8,9,7,16,12,6,2,6,3,3,3,6,2,4,6,0,7,3,7,6,5,6,8,6,11,9,2,5,9,11,17,10,9,8,4,7,5,5,11,13,7,7,8,2,1,4,1,9,10,7,7,4,11,5,14,15,4,6,7,7,6,6,8,8,5,10,1,1,4,4,2,2,3,1,1,1,2,0,2,0,0,0,0,0,0,0,27,24,38,52,20,21,23,36,36,48,41,25,31,41,39,33,20,9,5
12,愛子中央４丁目,3,4,5,2,2,5,4,2,5,3,4,3,1,1,0,1,2,7,5,2,4,3,2,4,2,2,2,9,5,4,4,2,6,4,6,2,4,2,1,5,2,4,7,2,3,4,6,4,5,4,1,1,4,4,5,1,5,1,1,0,3,1,1,1,2,1,1,5,7,2,5,5,5,1,1,1,1,2,3,5,2,2,3,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,19,9,17,15,22,22,14,18,23,15,8,8,16,17,12,9,3,2
