,town_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
0,明石南１丁目,2,0,0,0,3,0,1,0,1,2,2,0,1,1,4,0,2,3,4,6,4,10,3,6,3,0,5,5,3,2,0,1,0,2,1,3,3,1,1,1,0,2,2,2,4,6,2,3,5,6,3,8,11,10,8,10,9,6,4,9,4,10,4,7,3,8,5,4,4,8,3,9,8,3,4,0,5,0,6,1,2,3,1,1,7,2,2,3,4,1,0,1,0,0,1,2,0,0,0,0,0
1,明石南２丁目,4,3,1,3,1,4,0,6,1,5,4,6,2,4,5,6,7,6,3,7,4,8,7,5,1,3,5,3,0,3,2,1,4,2,1,2,3,0,6,4,4,2,5,8,6,7,12,6,10,8,10,10,12,8,9,12,5,9,6,7,6,3,8,7,8,8,3,4,5,6,5,3,8,1,2,2,5,2,5,4,0,0,1,4,2,1,3,2,3,1,2,0,1,1,1,1,0,0,0,0,0
2,明石南３丁目,3,4,5,1,2,1,0,3,1,2,0,1,3,3,3,2,5,3,7,5,4,8,4,3,4,3,5,8,3,4,7,2,2,4,1,4,4,7,5,3,4,5,5,2,4,11,4,7,12,10,11,4,3,7,5,2,2,0,4,2,2,4,1,3,1,1,1,0,3,1,3,1,2,2,1,2,1,1,1,0,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3,明石南４丁目,0,0,2,2,4,1,7,3,3,8,7,3,5,4,5,13,6,6,3,6,10,3,3,2,3,1,4,2,1,0,1,1,2,2,0,2,4,0,1,7,1,1,8,6,12,10,14,15,10,11,6,13,9,9,6,12,5,3,5,4,6,6,5,2,4,2,1,3,8,4,7,5,2,1,1,2,2,2,5,1,4,3,1,2,3,1,2,2,0,1,0,0,2,0,1,0,0,0,0,0,1
4,明石南５丁目,1,0,1,4,1,2,2,4,3,3,4,7,12,14,6,16,7,19,15,11,9,7,10,8,3,5,3,1,3,5,2,1,2,4,4,2,3,1,3,1,2,8,11,9,22,10,13,17,20,13,13,16,21,11,8,10,9,3,6,6,2,5,3,5,3,5,3,2,4,6,2,5,3,4,3,3,2,3,1,4,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
5,明石南６丁目,1,0,1,1,2,1,0,0,2,0,4,4,1,1,5,4,2,3,1,9,2,5,5,4,3,5,8,4,11,5,4,1,4,7,1,2,4,3,2,3,5,4,3,2,2,9,5,2,5,5,5,7,2,9,1,0,2,1,0,2,0,0,0,1,2,0,1,2,0,2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,明通４丁目,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,旭丘堤１丁目,3,5,1,3,2,5,1,1,2,4,7,4,3,1,6,5,3,4,9,9,8,8,7,11,8,13,8,4,8,10,11,10,4,4,10,3,10,6,6,1,8,6,6,12,6,5,10,13,5,10,10,6,12,6,8,3,5,13,8,9,12,6,6,5,9,7,7,2,7,8,5,8,9,9,7,4,11,4,2,7,6,9,11,13,6,8,6,5,5,3,1,7,1,1,0,2,2,0,0,0,0
8,旭丘堤２丁目,2,2,2,3,3,3,1,3,5,2,3,0,4,4,2,2,1,0,3,7,6,8,8,11,20,14,12,8,16,13,7,9,9,7,8,11,8,9,8,5,8,7,6,10,9,9,14,4,12,9,8,6,7,3,4,8,3,4,5,7,2,6,4,7,1,6,4,5,3,1,4,5,7,1,2,6,7,3,5,5,9,8,5,4,7,6,5,5,1,3,4,1,4,4,1,0,1,0,1,0,0
9,泉ケ丘１丁目,2,2,3,1,1,3,3,0,1,1,3,0,3,2,4,0,2,3,3,2,5,1,4,0,2,5,2,3,4,3,4,3,4,4,1,5,4,5,1,7,4,5,2,4,2,5,6,1,2,1,3,5,3,5,5,3,2,3,2,1,2,3,4,5,4,3,5,5,5,3,8,5,7,7,4,2,5,6,5,6,3,3,5,4,3,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
